league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,name_sofascore,birth_ts,height,weight,preferred_foot,nationality,position_current,detailed_positions_current,market_value_current,contract_until_ts_current,popularity_score_current,position_standard,position_description,player_age_at_season,country,contract_end_date_current,goals_per_90,xg_per_90,np_goals_per_90,np_xg_per_90,assists_per_90,xa_per_90,shots_per_90,key_passes_per_90,involvement_per_90,finishing_efficiency,np_finishing_efficiency,playmaking_efficiency,shot_conversion,involvement_index,direct_contribution,expected_contribution,offensive_volume,value_per_goal,value_per_xg,value_per_contribution
ENG-Premier League,2122,Arsenal,Aaron Ramsdale,1,2021,83,5603,GK,34,3060,0,0.0,0,0.0,0,0.0,0,0,1,0,3.9958,3.9958,Aaron Ramsdale,895104000.0,191,77,Right,England,G,GK,12600000.0,1782777600.0,8540.0,Goalkeeper,Goalkeeper (starter),23.0,ENG,2026-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.0,0.0,0.0,0.0,7.992,0,0.0,0,0.0,0.0,0.0
ENG-Premier League,2122,Arsenal,Ainsley Maitland-Niles,1,2021,83,1750,M S,8,251,0,0.0297,0,0.0297,0,0.2274,2,3,0,0,0.6361,0.3891,Ainsley Maitland-Niles,872812800.0,178,71,Right,England,D,DR,10900000.0,1814313600.0,1608.0,Midfielder,Midfielder (secondary/attacking),24.0,ENG,2027-06-30,0.0,0.011,0.0,0.011,0.0,0.082,0.717,1.076,0.368,0.0,0.0,0.0,0.0,1.025,0,0.257,5,0.0,367003367.0,0.0
ENG-Premier League,2122,Arsenal,Albert Sambi Lokonga,1,2021,83,9689,M S,19,1125,0,0.5853,0,0.5853,0,0.8354,20,18,5,0,5.4479,4.6921,Albert Sambi Lokonga,940550400.0,183,0,Right,Belgium,M,"MC, DM",8199999.0,1845936000.0,3592.0,Midfielder,Midfielder (secondary/attacking),22.0,ENG,2028-06-30,0.0,0.047,0.0,0.047,0.0,0.067,1.6,1.44,0.811,0.0,0.0,0.0,0.0,10.14,0,1.421,38,0.0,14009908.0,0.0
ENG-Premier League,2122,Arsenal,Alexandre Lacazette,1,2021,83,3277,F M S,30,1800,4,7.6258,2,5.3423,7,3.255,46,29,0,0,9.1499,3.0976,Alexandre Lacazette,675388800.0,176,73,Right,France,F,ST,5300000.0,1814313600.0,9317.0,Forward,Forward / Winger / Attacking Midfielder,30.0,ENG,2027-06-30,0.2,0.381,0.1,0.267,0.35,0.163,2.3,1.45,0.612,0.525,0.374,2.151,0.087,12.248,11,10.881,75,1325000.0,695009.0,481818.0
ENG-Premier League,2122,Arsenal,Ben White,1,2021,83,7298,D,32,2880,0,0.6877,0,0.6877,0,1.1922,12,13,3,0,10.001,9.3364,Ben White,876268800.0,186,0,Right,England,D,DR,27000000.0,1845936000.0,14058.0,Defender,Defender (generic),24.0,ENG,2028-06-30,0.0,0.021,0.0,0.021,0.0,0.037,0.375,0.406,0.604,0.0,0.0,0.0,0.0,19.337,0,1.88,25,0.0,39261306.0,0.0
ENG-Premier League,2122,Arsenal,Bernd Leno,1,2021,83,181,GK,4,360,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1894,0.1894,Bernd Leno,699667200.0,190,83,Right,Germany,G,GK,7400000.0,1814313600.0,2668.0,Goalkeeper,Goalkeeper (starter),29.0,ENG,2027-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.379,0,0.0,0,0.0,0.0,0.0
ENG-Premier League,2122,Arsenal,Bukayo Saka,1,2021,83,7322,F M S,38,3034,11,9.9059,9,8.3836,7,7.6314,97,68,6,0,19.4499,9.0586,Bukayo Saka,999648000.0,178,0,Left,England,F,RW,136000000.0,0.0,182227.0,Forward,Forward / Winger / Attacking Midfielder,20.0,ENG,,0.326,0.294,0.267,0.249,0.208,0.226,2.877,2.017,0.846,1.11,1.074,0.917,0.113,28.508,18,17.537,165,12363636.0,13729192.0,7555556.0
ENG-Premier League,2122,Arsenal,Calum Chambers,1,2021,83,508,D M S,13,1001,1,0.2656,1,0.2656,0,0.1769,5,3,1,0,2.5815,2.4069,Calum Chambers,790560000.0,183,66,Right,England,D,DC,965000.0,1814313600.0,602.0,Defender,Defender / Defensive Midfielder,26.0,ENG,2027-06-30,0.09,0.024,0.09,0.024,0.0,0.016,0.45,0.27,0.449,3.765,3.765,0.0,0.2,4.988,1,0.442,8,965000.0,3633283.0,965000.0
ENG-Premier League,2122,Arsenal,Cédric Soares,1,2021,83,847,D S,21,1483,1,0.4897,1,0.4897,1,1.5193,12,18,3,0,5.3501,4.6193,Cédric Soares,683596800.0,172,67,Right,Portugal,M,"DR, MR",740000.0,1830211200.0,2789.0,Defender,Defender (secondary role / versatile),30.0,ENG,2027-12-31,0.061,0.03,0.061,0.03,0.061,0.092,0.728,1.092,0.605,2.042,2.042,0.658,0.083,9.969,2,2.009,30,740000.0,1511129.0,370000.0
ENG-Premier League,2122,Arsenal,Eddie Nketiah,1,2021,83,6482,F S,21,803,5,4.9937,5,4.9937,1,1.6652,28,13,3,0,7.6774,2.16,Eddie Osei-Nketia,0.0,196,95,,,WR,,0.0,0.0,3.0,Forward,Striker / Centre Forward,0.0,ENG,,0.56,0.56,0.56,0.56,0.112,0.187,3.138,1.457,1.103,1.001,1.001,0.601,0.179,9.837,6,6.659,41,0.0,0.0,0.0
ENG-Premier League,2122,Arsenal,Emile Smith-Rowe,1,2021,83,7230,F M S,33,1928,10,5.3638,10,5.3638,2,3.033,40,30,1,0,10.8741,4.7885,Emile Smith Rowe,964742400.0,182,0,Right,England,M,"AM, LW",20000000.0,1877472000.0,7222.0,Forward,Forward / Winger / Attacking Midfielder,21.0,ENG,2029-06-30,0.467,0.25,0.467,0.25,0.093,0.142,1.867,1.4,0.731,1.864,1.864,0.659,0.25,15.663,12,8.397,70,2000000.0,3728700.0,1666667.0
