league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,name_sofascore,birth_ts,height,weight,preferred_foot,nationality,position_current,detailed_positions_current,market_value_current,contract_until_ts_current,popularity_score_current
ENG-Premier League,2122,Arsenal,Aaron Ramsdale,1,2021,83,5603,GK,34,3060,0,0.0,0,0.0,0,0.0,0,0,1,0,3.995810028165579,3.995810028165579,Aaron Ramsdale,895104000.0,191.0,77.0,Right,England,G,['GK'],12600000.0,1782777600.0,8540.0
ENG-Premier League,2122,Arsenal,Ainsley Maitland-Niles,1,2021,83,1750,M S,8,251,0,0.029720098711550236,0,0.029720098711550236,0,0.22736240178346634,2,3,0,0,0.6360606998205185,0.38906870782375336,Ainsley Maitland-Niles,872812800.0,178.0,71.0,Right,England,D,['DR'],10900000.0,1814313600.0,1608.0
ENG-Premier League,2122,Arsenal,Albert Sambi Lokonga,1,2021,83,9689,M S,19,1125,0,0.585317600518465,0,0.585317600518465,0,0.8354285042732954,20,18,5,0,5.447862323373556,4.692085664719343,Albert Sambi Lokonga,940550400.0,183.0,,Right,Belgium,M,"['MC', 'DM']",8199999.0,1845936000.0,3592.0
ENG-Premier League,2122,Arsenal,Alexandre Lacazette,1,2021,83,3277,F M S,30,1800,4,7.625774389132857,2,5.342271422967315,7,3.2550142742693424,46,29,0,0,9.149895284324884,3.0975794158875942,Alexandre Lacazette,675388800.0,176.0,73.0,Right,France,F,['ST'],5300000.0,1814313600.0,9317.0
ENG-Premier League,2122,Arsenal,Ben White,1,2021,83,7298,D,32,2880,0,0.6877354960888624,0,0.6877354960888624,0,1.1921783965080976,12,13,3,0,10.001042181625962,9.336444577202201,Ben White,876268800.0,186.0,,Right,England,D,['DR'],27000000.0,1845936000.0,14058.0
ENG-Premier League,2122,Arsenal,Bernd Leno,1,2021,83,181,GK,4,360,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1893833950161934,0.1893833950161934,Bernd Leno,699667200.0,190.0,83.0,Right,Germany,G,['GK'],7400000.0,1814313600.0,2668.0
ENG-Premier League,2122,Arsenal,Bukayo Saka,1,2021,83,7322,F M S,38,3034,11,9.905906103551388,9,8.383569121360779,7,7.6313808765262365,97,68,6,0,19.44989830069244,9.058580647222698,Bukayo Saka,999648000.0,178.0,,Left,England,F,['RW'],136000000.0,,182227.0
ENG-Premier League,2122,Arsenal,Calum Chambers,1,2021,83,508,D M S,13,1001,1,0.26563410088419914,1,0.26563410088419914,0,0.17693210020661354,5,3,1,0,2.581540483981371,2.4068506844341755,Calum Chambers,790560000.0,183.0,66.0,Right,England,D,['DC'],965000.0,1814313600.0,602.0
ENG-Premier League,2122,Arsenal,Cédric Soares,1,2021,83,847,D S,21,1483,1,0.48968339897692204,1,0.48968339897692204,1,1.5193457724526525,12,18,3,0,5.350092962384224,4.6192956287413836,Cédric Soares,683596800.0,172.0,67.0,Right,Portugal,M,"['DR', 'MR']",740000.0,1830211200.0,2789.0
ENG-Premier League,2122,Arsenal,Eddie Nketiah,1,2021,83,6482,F S,21,803,5,4.993681591004133,5,4.993681591004133,1,1.6652061231434345,28,13,3,0,7.677356168627739,2.160008793696761,Eddie Osei-Nketia,,196.0,95.0,,,WR,[],,,3.0
