,league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,name_sofascore,birth_ts,height,weight,preferred_foot,nationality,position_current,detailed_positions_current,market_value_current,contract_until_ts_current,popularity_score_current,position_standard,position_description,player_age_at_season,country,contract_end_date_current,goals_per_90,xg_per_90,np_goals_per_90,np_xg_per_90,assists_per_90,xa_per_90,shots_per_90,key_passes_per_90,involvement_per_90,finishing_efficiency,np_finishing_efficiency,playmaking_efficiency,shot_conversion,involvement_index,direct_contribution,expected_contribution,offensive_volume,value_per_goal,value_per_xg,value_per_contribution
0,ESP-La Liga,2425,Alaves,Abdelkabir Abqar,4,2024,158,9297,D,29,2489,0,0.8578,0,0.8578,1,0.2381,12,8,13,0,2.9338,2.7138,Abdelkabir Abqar,921024000.0,188,0,Right,Morocco,D,DC,5700000.0,1845936000.0,4075.0,Defender,Defender (generic),25.0,ESP,2028-06-30,0.0,0.031,0.0,0.031,0.036,0.009,0.434,0.289,0.204,0.0,0.0,4.2,0.0,5.648,1,1.096,20,0.0,6644906.0,5700000.0
1,ESP-La Liga,2425,Alaves,Abderrahmane Rebbach,4,2024,158,11825,F M S,8,381,0,0.3279,0,0.3279,0,0.2755,6,6,1,0,1.1502,0.6716,Abderrahman Rebbach,902793600.0,176,0,Right,Algeria,M,LW,1500000.0,1845936000.0,1287.0,Forward,Forward / Winger / Attacking Midfielder,26.0,ESP,2028-06-30,0.0,0.077,0.0,0.077,0.0,0.065,1.417,1.417,0.43,0.0,0.0,0.0,0.0,1.822,0,0.603,12,0.0,4574565.0,0.0
2,ESP-La Liga,2425,Alaves,Adrián Pica,4,2024,158,12718,D S,9,489,0,0.6005,0,0.6005,0,0.0624,4,1,1,0,0.9397,0.9397,Adrián Pica,1019692800.0,190,0,Right,Spain,D,DC,1000000.0,1782777600.0,85.0,Defender,Defender (secondary role / versatile),22.0,ESP,2026-06-30,0.0,0.111,0.0,0.111,0.0,0.011,0.736,0.184,0.346,0.0,0.0,0.0,0.0,1.879,0,0.663,5,0.0,1665279.0,0.0
3,ESP-La Liga,2425,Alaves,Adrián Rodríguez,4,2024,158,10272,GK S,2,120,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0376,0.0376,Adrián Rodríguez,976579200.0,195,0,Right,Argentina,G,GK,185000.0,1782777600.0,226.0,Goalkeeper,Goalkeeper (substitute/secondary),24.0,ESP,2026-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.075,0,0.0,0,0.0,0.0,0.0
4,ESP-La Liga,2425,Alaves,Aleksander Sedlar,4,2024,158,7845,D S,9,599,0,0.0179,0,0.0179,0,0.0,1,0,1,1,0.1696,0.1696,Aleksandar Sedlar,692582400.0,180,79,Right,Serbia,D,DC,260000.0,1782777600.0,219.0,Defender,Defender (secondary role / versatile),33.0,ESP,2026-06-30,0.0,0.003,0.0,0.003,0.0,0.0,0.15,0.0,0.051,0.0,0.0,0.0,0.0,0.339,0,0.018,1,0.0,14525140.0,0.0
5,ESP-La Liga,2425,Alaves,Ander Guevara,4,2024,158,6126,M S,33,1969,0,0.9672,0,0.9672,1,0.6741,12,12,3,0,3.6553,2.1134,Ander Guevara,868233600.0,180,0,Right,Spain,M,"MC, DM",3200000.0,1814313600.0,302.0,Midfielder,Midfielder (secondary/attacking),27.0,ESP,2027-06-30,0.0,0.044,0.0,0.044,0.046,0.031,0.549,0.549,0.264,0.0,0.0,1.483,0.0,5.769,1,1.641,24,0.0,3308519.0,3200000.0
6,ESP-La Liga,2425,Alaves,Antonio Blanco,4,2024,158,9280,M S,35,2755,0,0.7065,0,0.7065,1,1.739,25,14,10,1,6.0476,4.1383,Antonio Blanco,964310400.0,176,0,Right,Spain,M,"MC, DM",9700000.0,1814313600.0,1644.0,Midfielder,Midfielder (secondary/attacking),24.0,ESP,2027-06-30,0.0,0.023,0.0,0.023,0.033,0.057,0.817,0.457,0.333,0.0,0.0,0.575,0.0,10.186,1,2.446,39,0.0,13729653.0,9700000.0
7,ESP-La Liga,2425,Alaves,Antonio Martínez,4,2024,158,6400,F S,28,965,4,3.8184,4,3.8184,0,0.6797,44,12,1,0,4.9435,1.5181,José Antonio Martinez,729475200.0,189,80,Left,Spain,D,DC,0.0,0.0,39.0,Forward,Striker / Centre Forward,31.0,ESP,0,0.373,0.356,0.373,0.356,0.0,0.063,4.104,1.119,0.603,1.048,1.048,0.0,0.091,6.462,4,4.498,56,0.0,0.0,0.0
8,ESP-La Liga,2425,Alaves,Antonio Sivera,4,2024,158,6075,GK,32,2817,0,0.0,0,0.0,0,0.0351,0,1,6,1,0.7445,0.7094,Antonio Sivera,839721600.0,184,75,Right,Spain,G,GK,5600000.0,1814313600.0,575.0,Goalkeeper,Goalkeeper (starter),28.0,ESP,2027-06-30,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.032,0.046,0.0,0.0,0.0,0.0,1.454,0,0.035,1,0.0,0.0,0.0
9,ESP-La Liga,2425,Alaves,Asier Villalibre,4,2024,158,5173,F S,16,298,1,1.7566,0,1.0134,1,0.945,9,1,2,0,1.7317,0.2003,Asier Villalibre,875577600.0,183,80,Left,Spain,F,ST,2100000.0,1782777600.0,805.0,Forward,Striker / Centre Forward,27.0,ESP,2026-06-30,0.302,0.531,0.0,0.306,0.302,0.285,2.718,0.302,0.583,0.569,0.0,1.058,0.111,1.932,2,2.702,10,2100000.0,1195491.0,1050000.0
10,ESP-La Liga,2425,Alaves,Carles Aleñá,4,2024,158,5058,M S,24,1568,0,1.2464,0,1.2464,2,2.0682,20,23,2,0,3.5256,1.1927,Carles Aleñá,883958400.0,180,73,Left,Spain,M,"MC, ML",2800000.0,1877472000.0,1594.0,Midfielder,Midfielder (secondary/attacking),26.0,ESP,2029-06-30,0.0,0.072,0.0,0.072,0.115,0.119,1.148,1.32,0.271,0.0,0.0,0.967,0.0,4.718,2,3.315,43,0.0,2246470.0,1400000.0
11,ESP-La Liga,2425,Alaves,Carlos Benavídez,4,2024,158,11826,M S,18,456,1,0.2042,1,0.2042,1,0.6427,5,3,2,0,1.6227,1.0933,Carlos Benavídez,891216000.0,185,76,Right,Uruguay,M,"MC, DM",960000.0,1782777600.0,379.0,Midfielder,Midfielder (secondary/attacking),26.0,ESP,2026-06-30,0.197,0.04,0.197,0.04,0.197,0.127,0.987,0.592,0.536,4.897,4.897,1.556,0.2,2.716,2,0.847,8,960000.0,4701273.0,480000.0
12,ESP-La Liga,2425,Alaves,Carlos Martín,4,2024,158,10101,F M S,26,1367,2,2.4801,2,2.4801,2,2.588,26,12,3,0,4.013,1.1108,Carlos Martín,1019433600.0,182,0,Right,Spain,F,ST,2600000.0,0.0,1207.0,Forward,Forward / Winger / Attacking Midfielder,22.0,ESP,0,0.132,0.163,0.132,0.163,0.132,0.17,1.712,0.79,0.337,0.806,0.806,0.773,0.077,5.124,4,5.068,38,1300000.0,1048345.0,650000.0
13,ESP-La Liga,2425,Alaves,Carlos Vicente,4,2024,158,12294,D F M S,37,3114,5,3.1392,4,2.396,5,6.4243,37,62,3,0,8.2503,2.715,Carlos Vicente,924825600.0,179,0,Right,Spain,M,"RW, MR",7400000.0,1877472000.0,1950.0,Defender,Defender / versatile (can play Midfield/Forward),25.0,ESP,2029-06-30,0.145,0.091,0.116,0.069,0.145,0.186,1.069,1.792,0.317,1.593,1.669,0.778,0.135,10.965,10,9.564,99,1480000.0,2357288.0,740000.0
14,ESP-La Liga,2425,Alaves,Facundo Garcés,4,2024,158,13319,D S,10,670,0,0.1138,0,0.1138,0,0.7587,5,3,2,0,0.1813,0.0454,Facundo Garcés,936489600.0,191,82,Right,Argentina,D,DC,1100000.0,1845936000.0,1988.0,Defender,Defender (secondary role / versatile),25.0,ESP,2028-06-30,0.0,0.015,0.0,0.015,0.0,0.102,0.672,0.403,0.03,0.0,0.0,0.0,0.0,0.227,0,0.872,8,0.0,9666081.0,0.0
