,league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,name_sofascore,birth_ts,height,weight,preferred_foot,nationality,position_current,detailed_positions_current,market_value_current,contract_until_ts_current,popularity_score_current
0,ESP-La Liga,2425,Alaves,Abdelkabir Abqar,4,2024,158,9297,D,29,2489,0,0.8577928207814693,0,0.8577928207814693,1,0.23812325112521648,12,8,13,0,2.933803543448448,2.713847666978836,Abdelkabir Abqar,921024000.0,188.0,,Right,Morocco,D,['DC'],5700000.0,1845936000.0,4075.0
1,ESP-La Liga,2425,Alaves,Abderrahmane Rebbach,4,2024,158,11825,F M S,8,381,0,0.32793736085295677,0,0.32793736085295677,0,0.27545187063515186,6,6,1,0,1.1501923333853483,0.6715759411454201,Abderrahman Rebbach,902793600.0,176.0,,Right,Algeria,M,['LW'],1500000.0,1845936000.0,1287.0
2,ESP-La Liga,2425,Alaves,Adrián Pica,4,2024,158,12718,D S,9,489,0,0.6004659123718739,0,0.6004659123718739,0,0.06241459399461746,4,1,1,0,0.9397268313914537,0.9397268313914537,Adrián Pica,1019692800.0,190.0,,Right,Spain,D,['DC'],1000000.0,1782777600.0,85.0
3,ESP-La Liga,2425,Alaves,Adrián Rodríguez,4,2024,158,10272,GK S,2,120,0,0.0,0,0.0,0,0.0,0,0,1,0,0.03760097175836563,0.03760097175836563,Adrián Rodríguez,976579200.0,195.0,,Right,Argentina,G,['GK'],185000.0,1782777600.0,226.0
4,ESP-La Liga,2425,Alaves,Aleksander Sedlar,4,2024,158,7845,D S,9,599,0,0.01792372576892376,0,0.01792372576892376,0,0.0,1,0,1,1,0.16960801929235458,0.16960801929235458,Aleksandar Sedlar,692582400.0,180.0,79.0,Right,Serbia,D,['DC'],260000.0,1782777600.0,219.0
5,ESP-La Liga,2425,Alaves,Ander Guevara,4,2024,158,6126,M S,33,1969,0,0.9672462455928326,0,0.9672462455928326,1,0.6741306530311704,12,12,3,0,3.655263607390225,2.1133727561682463,Ander Guevara,868233600.0,180.0,,Right,Spain,M,"['MC', 'DM']",3200000.0,1814313600.0,302.0
6,ESP-La Liga,2425,Alaves,Antonio Blanco,4,2024,158,9280,M S,35,2755,0,0.7065247548744082,0,0.7065247548744082,1,1.7390412520617247,25,14,10,1,6.047557967714965,4.138327054679394,Antonio Blanco,964310400.0,176.0,,Right,Spain,M,"['MC', 'DM']",9700000.0,1814313600.0,1644.0
7,ESP-La Liga,2425,Alaves,Antonio Martínez,4,2024,158,6400,F S,28,965,4,3.818366212770343,4,3.818366212770343,0,0.6796954162418842,44,12,1,0,4.9434719532728195,1.5181170348078012,José Antonio Martinez,729475200.0,189.0,80.0,Left,Spain,D,['DC'],,,39.0
8,ESP-La Liga,2425,Alaves,Antonio Sivera,4,2024,158,6075,GK,32,2817,0,0.0,0,0.0,0,0.035076986998319626,0,1,6,1,0.7444533910602331,0.7093764003366232,Antonio Sivera,839721600.0,184.0,75.0,Right,Spain,G,['GK'],5600000.0,1814313600.0,575.0
9,ESP-La Liga,2425,Alaves,Asier Villalibre,4,2024,158,5173,F S,16,298,1,1.7566380016505718,0,1.013360369950533,1,0.9450216889381409,9,1,2,0,1.73167385160923,0.2002533720806241,Asier Villalibre,875577600.0,183.0,80.0,Left,Spain,F,['ST'],2100000.0,1782777600.0,805.0
10,ESP-La Liga,2425,Alaves,Carles Aleñá,4,2024,158,5058,M S,24,1568,0,1.2464379873126745,0,1.2464379873126745,2,2.068190712481737,20,23,2,0,3.5255685579031706,1.1926605817861855,Carles Aleñá,883958400.0,180.0,73.0,Left,Spain,M,"['MC', 'ML']",2800000.0,1877472000.0,1594.0
11,ESP-La Liga,2425,Alaves,Carlos Benavídez,4,2024,158,11826,M S,18,456,1,0.20424118265509605,1,0.20424118265509605,1,0.6427380479872227,5,3,2,0,1.6226654779165983,1.093293646350503,Carlos Benavídez,891216000.0,185.0,76.0,Right,Uruguay,M,"['MC', 'DM']",960000.0,1782777600.0,379.0
12,ESP-La Liga,2425,Alaves,Carlos Martín,4,2024,158,10101,F M S,26,1367,2,2.4801127864047885,2,2.4801127864047885,2,2.5880204420536757,26,12,3,0,4.012961556203663,1.1108323587104678,Carlos Martín,1019433600.0,182.0,,Right,Spain,F,['ST'],2600000.0,,1207.0
13,ESP-La Liga,2425,Alaves,Carlos Vicente,4,2024,158,12294,D F M S,37,3114,5,3.139239792712033,4,2.3959621535614133,5,6.42431272752583,37,62,3,0,8.250345922075212,2.7149507738649845,Carlos Vicente,924825600.0,179.0,,Right,Spain,M,"['RW', 'MR']",7400000.0,1877472000.0,1950.0
14,ESP-La Liga,2425,Alaves,Facundo Garcés,4,2024,158,13319,D S,10,670,0,0.11383035965263844,0,0.11383035965263844,0,0.7587253376841545,5,3,2,0,0.18133238423615694,0.0453559048473835,Facundo Garcés,936489600.0,191.0,82.0,Right,Argentina,D,['DC'],1100000.0,1845936000.0,1988.0
15,ESP-La Liga,2425,Alaves,Hugo Novoa Ramos,4,2024,158,9293,D M S,5,217,0,0.596488893032074,0,0.596488893032074,0,0.11582886800169945,1,2,0,0,1.4536456279456615,0.85715676471591,,,,,,,,,,,
16,ESP-La Liga,2425,Alaves,Jesús Owono,4,2024,158,10010,GK S,6,482,0,0.0,0,0.0,0,0.0,0,0,0,0,0.06445431336760521,0.06445431336760521,Jesús Owono,983404800.0,183.0,67.0,Both,Equatorial Guinea,G,['GK'],935000.0,1782777600.0,421.0
17,ESP-La Liga,2425,Alaves,Joan Jordán,4,2024,158,2122,M S,25,1397,5,4.2784636076539755,2,1.3053531553596258,2,2.1695005875080824,17,30,4,0,4.523949593305588,3.4168765898793936,Joan Jordán,773452800.0,184.0,74.0,Right,Spain,M,"['MC', 'DM']",1900000.0,1814313600.0,734.0
